,brand_name,brand_detail,brand_price,brand_discount
235,aadi,Ultralightweight | Comfortable | Breathable Walking | O...,₹299,70% off
236,Kraasa,Walking Shoes For Women,₹399,60% off
237,SFR,High Tops For Men,₹299,70% off
238,AJANTA,Casual Loafers For Men,₹294,57% off
239,asian,Delta-14 sports shoes for men | Latest Stylish Casual s...,₹599,53% off
240,CAMPUS,FIRST Running Shoes For Men,"₹1,379",27% off
241,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹399,80% off
242,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹199,80% off
243,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹249,87% off
244,BRUTON,Modern Trendy Shoes Sneakers For Men,₹249,80% off
245,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹299,70% off
246,Oidoribo,Casual Sneakers ColourFul Block Shoes For Boys And Snea...,₹336,66% off
247,HOTSTYLE,Boxer Boots For Men,₹249,58% off
248,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,78% off
249,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹229,77% off
250,RapidBox,Sneakers For Men,₹559,44% off
251,ATOM,Sneakers For Men,"₹1,389",57% off
252,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹399,80% off
253,aadi,Running Shoes For Men,₹394,80% off
254,aadi,Sneakers For Men,₹299,85% off
255,Nobelite,Sneakers For Men,₹289,71% off
256,HOTSTYLE,Combo Pack Of 2 Running Shoes For Men,₹459,63% off
257,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹299,70% off
258,jaipur trendcraft,Slip On For Men,₹349,65% off
259,Nobelite,Running Sports Latest Stylish Casual Lace up lightweigh...,₹249,82% off
260,HOTSTYLE,Designer Boots For Men,₹249,50% off
261,asian,"asian Thunder-01 White Color Change Sneakers,Casuals,Lo...",₹724,57% off
262,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹199,80% off
263,asian,"Nexon-13 White Sports,Walking,Training,Gym,Stylish, Run...",₹609,49% off
264,AJANTA,Casual Loafers For Men,₹294,57% off
265,Nobelite,Casuals For Men,₹279,79% off
266,RapidBox,High Tops For Men,₹559,44% off
267,CLYMB,Running Shoes For Men,₹599,40% off
268,asian,Sneakers For Men,₹724,57% off
269,AJANTA,Casual Loafers For Men,₹294,57% off
270,RapidBox,Sneakers For Men,₹699,30% off
271,Layasa,Sneakers For Women,₹399,80% off
272,AJANTA,Casual Loafers For Men,₹294,57% off
273,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹399,80% off
274,jaipur trendcraft,"Men's Jalsa Jutti,Jutis For Men BLACK Slip On For Men",₹349,65% off
275,SFR,High Tops For Men,₹299,70% off
276,Airson,Sports shoes for men|Stylish Casual sport shoes for men...,₹439,60% off
277,HOTSTYLE,2 Pair Combo Trendy & Stylish Running Shoes For Men,₹499,60% off
278,BRUTON,Combo Pack of 2 Sports Shoes Running Shoes For Men Runn...,₹399,84% off
279,aadi,Mesh| Lightweight| Premiun| Comfort| Summer Tendy| Outd...,₹299,70% off
280,CAMPUS,FIRST Running Shoes For Men,"₹1,379",27% off
281,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹399,80% off
282,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹199,80% off
283,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹249,87% off
284,BRUTON,Modern Trendy Shoes Sneakers For Men,₹249,80% off
285,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹299,70% off
286,Oidoribo,Casual Sneakers ColourFul Block Shoes For Boys And Snea...,₹336,66% off
287,CLYMB,Running Shoes For Men,₹599,40% off
288,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,78% off
289,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹229,77% off
290,RapidBox,Sneakers For Men,₹559,44% off
291,asian,"asian Thunder-01 White Color Change Sneakers,Casuals,Lo...",₹724,57% off
292,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹399,80% off
293,aadi,Running Shoes For Men,₹394,80% off
294,aadi,Sneakers For Men,₹299,85% off
295,Nobelite,Sneakers For Men,₹289,71% off
296,Airson,Sports shoes for men|Stylish Casual sport shoes for men...,₹439,60% off
297,RapidBox,High Tops For Men,₹559,44% off
298,jaipur trendcraft,Slip On For Men,₹349,65% off
299,Nobelite,Running Sports Latest Stylish Casual Lace up lightweigh...,₹249,82% off
300,RapidBox,Sneakers For Men,₹699,30% off
301,ATOM,Sneakers For Men,"₹1,389",57% off
302,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹199,80% off
303,asian,"Nexon-13 White Sports,Walking,Training,Gym,Stylish, Run...",₹609,49% off
304,AJANTA,Casual Loafers For Men,₹294,57% off
305,Nobelite,Casuals For Men,₹279,79% off
306,BRUTON,Combo Fit-Man Red & Blue Loafers For Men,₹384,84% off
307,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,57% off
308,asian,Sneakers For Men,₹724,57% off
309,AJANTA,Casual Loafers For Men,₹294,57% off
310,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹299,70% off
311,RapidBox,Sneakers For Men,₹559,44% off
312,AJANTA,Casual Loafers For Men,₹294,57% off
313,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹399,80% off
314,jaipur trendcraft,"Men's Jalsa Jutti,Jutis For Men BLACK Slip On For Men",₹349,65% off
315,SFR,High Tops For Men,₹299,70% off
316,aadi,Casuals For Men,₹294,70% off
317,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹499,75% off
318,BRUTON,Combo Pack of 2 Sports Shoes Running Shoes For Men Runn...,₹399,84% off
319,aadi,Mesh| Lightweight| Premiun| Comfort| Summer Tendy| Outd...,₹299,70% off
320,CAMPUS,FIRST Running Shoes For Men,"₹1,379",27% off
321,CAMPUS,CAMP KRIPTO Running Shoes For Men,"₹1,394",17% off
322,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹199,80% off
323,BRUTON,Modern Trendy Shoes Sneakers For Men,₹249,80% off
324,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹299,70% off
325,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,78% off
326,KANEGGYE,Casuals For Men,₹499,50% off
327,ATOM,Sneakers For Men,"₹1,389",57% off
328,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹229,77% off
329,Nobelite,Sneakers For Men,₹289,71% off
330,RapidBox,Sneakers For Men,₹559,44% off
331,Paragon,K1201G Cricket Gym Sports Comfortable Daily Outdoor Wal...,₹659,45% off
332,aadi,Running Shoes For Men,₹394,80% off
333,aadi,Sneakers For Men,₹299,85% off
334,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹399,80% off
335,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹249,87% off
336,HOTSTYLE,Combo Pack Of 2 Running Shoes For Men,₹459,63% off
337,RED TAPE,"Walking Sports Shoes for Men | Soft Cushioned Insole, S...","₹1,631",76% off
338,KANEGGYE,Casuals For Men,₹499,50% off
339,Nobelite,Running Sports Latest Stylish Casual Lace up lightweigh...,₹249,82% off
340,BERSACHE,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,₹499,87% off
341,asian,"asian Thunder-01 White Color Change Sneakers,Casuals,Lo...",₹724,57% off
342,AJANTA,Casual Loafers For Men,₹294,57% off
343,AJANTA,Casual Loafers For Men,₹294,57% off
344,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹199,80% off
345,Nobelite,Casuals For Men,₹279,79% off
346,ATOM,Sneakers For Men,"₹1,285",61% off
347,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹499,75% off
348,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹399,80% off
349,asian,"Thunder-01 White Color Change Sneakers,Casuals,Loafer S...",₹724,57% off
350,RapidBox,Sneakers For Men,₹559,44% off
351,Kraasa,Sneakers For Men,₹499,50% off
352,asian,"Nexon-13 White Sports,Walking,Training,Gym,Stylish, Run...",₹609,49% off
353,AJANTA,Casual Loafers For Men,₹294,57% off
354,KANEGGYE,Casuals For Men,₹499,50% off
355,SFR,High Tops For Men,₹299,70% off
356,CAMPUS,CAMP ZANE Running Shoes For Men,"₹1,099",31% off
357,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹299,70% off
358,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹299,85% off
359,aadi,Mesh| Lightweight| Premiun| Comfort| Summer Tendy| Outd...,₹299,70% off
360,CAMPUS,FIRST Running Shoes For Men,"₹1,379",27% off
361,Elevarse,Slip On Sneakers For Men,₹249,72% off
362,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹199,80% off
363,BRUTON,Modern Trendy Shoes Sneakers For Men,₹249,80% off
364,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹299,70% off
365,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,78% off
366,KANEGGYE,Casuals For Men,₹499,50% off
367,ATOM,Sneakers For Men,"₹1,389",57% off
368,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹229,77% off
369,aadi,Running Shoes For Men,₹394,80% off
370,RapidBox,Sneakers For Men,₹559,44% off
371,Layasa,Sneakers For Women,₹399,80% off
372,aadi,Sneakers For Men,₹299,85% off
373,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹249,87% off
374,Nobelite,Running Sports Latest Stylish Casual Lace up lightweigh...,₹249,82% off
375,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹399,80% off
376,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹299,70% off
377,RapidBox,Sneakers For Men,₹559,44% off
378,KANEGGYE,Casuals For Men,₹499,50% off
379,AJANTA,Casual Loafers For Men,₹294,57% off
380,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹499,75% off
